location_id,time,v,w,occupancy,groundtruth
113,2016-04-17 21:45:00,114,467,6,637.0
113,2016-04-15 01:15:00,107,340,5,65.0
113,2016-04-14 02:45:00,54,338,2,334.0
113,2016-04-18 21:45:00,34,271,4,171.0
113,2016-04-18 00:45:00,170,501,17,600.0
113,2016-04-16 21:30:00,64,548,9,505.0
113,2016-04-17 23:30:00,90,549,4,933.0
113,2016-04-18 01:30:00,229,416,9,515.0
113,2016-04-14 04:00:00,14,223,1,37.0
113,2016-04-18 02:00:00,130,424,11,180.0
113,2016-04-18 00:30:00,150,516,7,791.0
113,2016-04-17 02:30:00,353,542,18,582.0
113,2016-04-18 03:30:00,15,229,1,75.0
113,2016-04-15 20:30:00,191,370,11,227.0
113,2016-04-13 18:45:00,187,284,10,127.0
113,2016-04-14 04:45:00,0,186,0,3.0
113,2016-04-14 23:45:00,53,393,2,162.0
113,2016-04-16 21:45:00,71,482,0,676.0
113,2016-04-16 22:30:00,74,525,1,409.0
113,2016-04-17 03:15:00,277,519,6,391.0
113,2016-04-18 01:45:00,168,434,7,227.0
113,2016-04-14 03:15:00,50,302,4,244.0
113,2016-04-15 03:00:00,143,350,7,219.0
113,2016-04-14 20:45:00,110,376,4,104.0
113,2016-04-19 04:15:00,15,150,0,15.0
113,2016-04-14 18:00:00,36,325,2,50.0
113,2016-04-13 21:00:00,38,348,2,135.0
113,2016-04-18 02:45:00,208,384,8,180.0
113,2016-04-15 01:30:00,111,318,2,129.0
113,2016-04-17 03:00:00,298,501,11,462.0
113,2016-04-19 01:15:00,84,274,2,143.0
113,2016-04-13 20:00:00,65,332,5,113.0
113,2016-04-16 01:30:00,204,434,15,417.0
113,2016-04-19 01:45:00,51,262,5,250.0
113,2016-04-16 19:30:00,29,437,0,240.0
113,2016-04-17 00:45:00,207,530,7,650.0
113,2016-04-17 00:30:00,178,542,11,604.0
113,2016-04-15 01:45:00,70,364,6,154.0
113,2016-04-16 00:15:00,349,373,20,509.0
113,2016-04-17 01:30:00,273,584,16,583.0
113,2016-04-16 18:00:00,16,322,0,46.0
113,2016-04-16 21:00:00,245,407,14,374.0
113,2016-04-18 20:00:00,88,338,6,197.0
113,2016-04-13 19:45:00,69,311,2,58.0
113,2016-04-16 02:30:00,65,362,0,375.0
113,2016-04-16 19:15:00,91,373,5,194.0
113,2016-04-14 20:15:00,146,363,5,119.0
113,2016-04-19 04:45:00,2,116,0,2.0
113,2016-04-13 19:15:00,108,346,6,110.0
