location,time,hour,minutes,video occ minutes,wifi occ minutes,video occupancy,groundtruth occ minutes,fusion occ minutes
113,2016-04-17 21:45:00,21.0,45.0,114.0,467.0,6.0,637.0,595
113,2016-04-15 01:15:00,1.0,15.0,107.0,340.0,5.0,65.0,191
113,2016-04-14 02:45:00,2.0,45.0,54.0,338.0,2.0,334.0,233
113,2016-04-18 21:45:00,21.0,45.0,34.0,271.0,4.0,171.0,148
113,2016-04-18 00:45:00,0.0,45.0,170.0,501.0,17.0,600.0,610
113,2016-04-16 21:30:00,21.0,30.0,64.0,548.0,9.0,505.0,572
113,2016-04-17 23:30:00,23.0,30.0,90.0,549.0,4.0,933.0,899
113,2016-04-18 01:30:00,1.0,30.0,229.0,416.0,9.0,515.0,434
113,2016-04-14 04:00:00,4.0,0.0,14.0,223.0,1.0,37.0,5
113,2016-04-18 02:00:00,2.0,0.0,130.0,424.0,11.0,180.0,241
113,2016-04-18 00:30:00,0.0,30.0,150.0,516.0,7.0,791.0,694
113,2016-04-17 02:30:00,2.0,30.0,353.0,542.0,18.0,582.0,564
113,2016-04-18 03:30:00,3.0,30.0,15.0,229.0,1.0,75.0,92
113,2016-04-15 20:30:00,20.0,30.0,191.0,370.0,11.0,227.0,197
113,2016-04-13 18:45:00,18.0,45.0,187.0,284.0,10.0,127.0,136
113,2016-04-14 04:45:00,4.0,45.0,0.0,186.0,0.0,3.0,5
113,2016-04-14 23:45:00,23.0,45.0,53.0,393.0,2.0,162.0,224
113,2016-04-16 21:45:00,21.0,45.0,71.0,482.0,0.0,676.0,632
113,2016-04-16 22:30:00,22.0,30.0,74.0,525.0,1.0,409.0,496
113,2016-04-17 03:15:00,3.0,15.0,277.0,519.0,6.0,391.0,478
113,2016-04-18 01:45:00,1.0,45.0,168.0,434.0,7.0,227.0,307
113,2016-04-14 03:15:00,3.0,15.0,50.0,302.0,4.0,244.0,200
113,2016-04-15 03:00:00,3.0,0.0,143.0,350.0,7.0,219.0,219
113,2016-04-14 20:45:00,20.0,45.0,110.0,376.0,4.0,104.0,120
113,2016-04-19 04:15:00,4.0,15.0,15.0,150.0,0.0,15.0,5
113,2016-04-14 18:00:00,18.0,0.0,36.0,325.0,2.0,50.0,92
113,2016-04-13 21:00:00,21.0,0.0,38.0,348.0,2.0,135.0,165
113,2016-04-18 02:45:00,2.0,45.0,208.0,384.0,8.0,180.0,253
113,2016-04-15 01:30:00,1.0,30.0,111.0,318.0,2.0,129.0,183
113,2016-04-17 03:00:00,3.0,0.0,298.0,501.0,11.0,462.0,468
113,2016-04-19 01:15:00,1.0,15.0,84.0,274.0,2.0,143.0,155
113,2016-04-13 20:00:00,20.0,0.0,65.0,332.0,5.0,113.0,149
113,2016-04-16 01:30:00,1.0,30.0,204.0,434.0,15.0,417.0,419
113,2016-04-19 01:45:00,1.0,45.0,51.0,262.0,5.0,250.0,212
113,2016-04-16 19:30:00,19.0,30.0,29.0,437.0,0.0,240.0,200
113,2016-04-17 00:45:00,0.0,45.0,207.0,530.0,7.0,650.0,655
113,2016-04-17 00:30:00,0.0,30.0,178.0,542.0,11.0,604.0,639
113,2016-04-15 01:45:00,1.0,45.0,70.0,364.0,6.0,154.0,191
113,2016-04-16 00:15:00,0.0,15.0,349.0,373.0,20.0,509.0,467
113,2016-04-17 01:30:00,1.0,30.0,273.0,584.0,16.0,583.0,582
113,2016-04-16 18:00:00,18.0,0.0,16.0,322.0,0.0,46.0,44
113,2016-04-16 21:00:00,21.0,0.0,245.0,407.0,14.0,374.0,399
113,2016-04-18 20:00:00,20.0,0.0,88.0,338.0,6.0,197.0,142
113,2016-04-13 19:45:00,19.0,45.0,69.0,311.0,2.0,58.0,103
113,2016-04-16 02:30:00,2.0,30.0,65.0,362.0,0.0,375.0,294
113,2016-04-16 19:15:00,19.0,15.0,91.0,373.0,5.0,194.0,176
113,2016-04-14 20:15:00,20.0,15.0,146.0,363.0,5.0,119.0,150
113,2016-04-19 04:45:00,4.0,45.0,2.0,116.0,0.0,2.0,5
113,2016-04-13 19:15:00,19.0,15.0,108.0,346.0,6.0,110.0,135
113,2016-04-15 21:00:00,21.0,0.0,225.0,347.0,17.0,574.0,528
113,2016-04-18 03:45:00,3.0,45.0,9.0,221.0,0.0,13.0,55
113,2016-04-16 00:00:00,0.0,0.0,361.0,357.0,20.0,451.0,460
113,2016-04-15 23:30:00,23.0,30.0,400.0,443.0,28.0,414.0,435
113,2016-04-15 18:30:00,18.0,30.0,78.0,308.0,8.0,180.0,127
113,2016-04-14 22:30:00,22.0,30.0,176.0,361.0,9.0,146.0,186
113,2016-04-17 18:45:00,18.0,45.0,141.0,357.0,6.0,149.0,140
113,2016-04-17 20:45:00,20.0,45.0,291.0,456.0,21.0,437.0,423
113,2016-04-14 01:45:00,1.0,45.0,136.0,280.0,8.0,198.0,202
113,2016-04-16 23:30:00,23.0,30.0,204.0,500.0,11.0,973.0,885
113,2016-04-17 03:45:00,3.0,45.0,171.0,344.0,3.0,237.0,216
113,2016-04-13 23:45:00,23.0,45.0,85.0,332.0,5.0,84.0,175
113,2016-04-16 18:30:00,18.0,30.0,97.0,368.0,6.0,148.0,150
113,2016-04-18 19:45:00,19.0,45.0,101.0,343.0,6.0,219.0,137
113,2016-04-15 02:00:00,2.0,0.0,150.0,394.0,7.0,134.0,223
113,2016-04-15 00:45:00,0.0,45.0,142.0,393.0,10.0,259.0,203
113,2016-04-14 00:30:00,0.0,30.0,29.0,282.0,4.0,139.0,137
113,2016-04-14 03:00:00,3.0,0.0,44.0,306.0,3.0,231.0,222
113,2016-04-17 21:00:00,21.0,0.0,264.0,475.0,14.0,583.0,564
