location,time,hour,minute,v_occ_min,w_occ_min,v_occ,win,wout,raw_occ_min,groundtruth
132,2016-04-17 21:45:00,21.0,45.0,350.0,538.0,2.0,79,67,802,441.0
132,2016-04-15 01:15:00,1.0,15.0,57.0,334.0,34.0,31,20,292,202.0
132,2016-04-14 02:45:00,2.0,45.0,160.0,358.0,5.0,26,31,1270,80.0
132,2016-04-18 17:30:00,17.0,30.0,15.0,105.0,7.0,7,8,-3,28.0
132,2016-04-18 00:45:00,0.0,45.0,89.0,538.0,3.0,54,39,1185,481.0
132,2016-04-16 21:30:00,21.0,30.0,274.0,446.0,26.0,56,40,1440,349.0
132,2016-04-15 17:00:00,17.0,0.0,15.0,261.0,1.0,13,11,15,11.0
132,2016-04-18 01:30:00,1.0,30.0,54.0,400.0,7.0,77,66,1345,44.0
132,2016-04-16 22:15:00,22.0,15.0,487.0,463.0,28.0,40,44,1963,168.0
132,2016-04-18 00:30:00,0.0,30.0,102.0,512.0,15.0,53,57,1140,296.0
132,2016-04-18 23:30:00,23.0,30.0,82.0,134.0,24.0,12,11,310,77.0
132,2016-04-18 19:45:00,19.0,45.0,34.0,173.0,16.0,3,1,19,58.0
132,2016-04-15 20:30:00,20.0,30.0,281.0,388.0,4.0,18,17,495,189.0
132,2016-04-13 18:45:00,18.0,45.0,113.0,423.0,7.0,21,14,290,108.0
132,2016-04-14 23:45:00,23.0,45.0,51.0,343.0,47.0,27,21,-31,141.0
132,2016-04-16 21:45:00,21.0,45.0,432.0,431.0,17.0,73,56,1693,306.0
132,2016-04-16 22:30:00,22.0,30.0,502.0,478.0,18.0,61,44,2071,163.0
132,2016-04-18 01:45:00,1.0,45.0,79.0,368.0,0.0,58,159,1552,55.0
132,2016-04-14 03:15:00,3.0,15.0,208.0,391.0,0.0,30,27,1392,62.0
132,2016-04-15 03:00:00,3.0,0.0,95.0,321.0,6.0,21,19,1033,180.0
132,2016-04-14 20:45:00,20.0,45.0,95.0,371.0,29.0,30,39,20,92.0
132,2016-04-14 18:00:00,18.0,0.0,27.0,349.0,6.0,7,7,-6,35.0
132,2016-04-13 17:30:00,17.0,30.0,131.0,290.0,3.0,13,13,210,97.0
132,2016-04-19 01:30:00,1.0,30.0,40.0,154.0,21.0,19,20,576,150.0
132,2016-04-14 01:00:00,1.0,0.0,244.0,371.0,7.0,10,10,1102,174.0
132,2016-04-15 01:30:00,1.0,30.0,39.0,358.0,35.0,25,24,362,174.0
132,2016-04-14 17:30:00,17.0,30.0,32.0,326.0,3.0,12,11,2,24.0
132,2016-04-13 20:00:00,20.0,0.0,217.0,466.0,2.0,29,20,522,66.0
132,2016-04-16 01:30:00,1.0,30.0,199.0,375.0,21.0,34,34,1041,139.0
132,2016-04-16 17:00:00,17.0,0.0,38.0,333.0,2.0,12,10,44,10.0
